Abbr,Ci,TBq,Version
Ac-224,100,3.7,0
Ac-225,1,0.037,0
Ac-226,10,0.37,0
Ac-227,0.001,0.000037,0
Ac-228,10,0.37,0
Ag-102,100,3.7,0
Ag-103,1000,37,0
Ag-104,1000,37,0
Ag-104m,1000,37,0
Ag-105,10,0.37,0
Ag-106,100,3.7,0
Ag-106m,10,0.37,0
Ag-108m,10,0.37,0
Ag-110m,10,0.37,0
Ag-111,10,0.37,0
Ag-112,100,3.7,0
Ag-115,1000,37,0
Al-26,10,0.37,0
Am-237,1000,37,0
Am-238,100,3.7,0
Am-239,100,3.7,0
Am-240,10,0.37,0
Am-241,0.01,0.00037,0
Am-242,100,3.7,0
Am-242m,0.01,0.00037,0
Am-243,0.01,0.00037,0
Am-244,10,0.37,0
Am-244m,1000,37,0
Am-245,1000,37,0
Am-246,1000,37,0
Am-246m,1000,37,0
Ar-37,1,0.037,0
Ar-39,1000,37,0
Ar-41,10,0.37,0
As-69,1000,37,0
As-70,100,3.7,0
As-71,100,3.7,0
As-72,10,0.37,0
As-73,100,3.7,0
As-74,10,0.37,0
As-76,100,3.7,0
As-77,1000,37,0
As-78,100,3.7,0
At-207,100,3.7,0
At-211,100,3.7,0
Au-193,100,3.7,0
Au-194,10,0.37,0
Au-195,100,3.7,0
Au-198,100,3.7,0
Au-198m,10,0.37,0
Au-199,100,3.7,0
Au-200,1000,37,0
Au-200m,10,0.37,0
Au-201,1000,37,0
Ba-126,1000,37,0
Ba-128,10,0.37,0
Ba-131,10,0.37,0
Ba-131m,1000,37,0
Ba-133,10,0.37,0
Ba-133m,100,3.7,0
Ba-135m,1000,37,0
Ba-139,1000,37,0
Ba-140,10,0.37,0
Ba-141,1000,37,0
Ba-142,1000,37,0
Be-10,1,0.037,0
Be-7,100,3.7,0
Bi-200,100,3.7,0
Bi-201,100,3.7,0
Bi-202,1000,37,0
Bi-203,10,0.37,0
Bi-205,10,0.37,0
Bi-206,10,0.37,0
Bi-207,10,0.37,0
Bi-210,10,0.37,0
Bi-210m,0.1,0.0037,0
Bi-212,100,3.7,0
Bi-213,100,3.7,0
Bi-214,100,3.7,0
Bk-245,100,3.7,0
Bk-246,10,0.37,0
Bk-247,0.01,0.00037,0
Bk-249,1,0.037,0
Bk-250,100,3.7,0
Br-74,100,3.7,0
Br-74m,100,3.7,0
Br-75,100,3.7,0
Br-76,10,0.37,0
Br-77,100,3.7,0
Br-80,1000,37,0
Br-80m,1000,37,0
Br-82,10,0.37,0
Br-83,1000,37,0
Br-84,100,3.7,0
C-11,1000,37,0
C-14,10,0.37,0
Ca-41,10,0.37,0
Ca-45,10,0.37,0
Ca-47,10,0.37,0
Cd-104,1000,37,0
Cd-107,1000,37,0
Cd-109,1,0.037,0
Cd-113,0.1,0.0037,0
Cd-113m,0.1,0.0037,0
Cd-115,100,3.7,0
Cd-115m,10,0.37,0
Cd-117,100,3.7,0
Cd-117m,10,0.37,0
Ce-134,10,0.37,0
Ce-135,10,0.37,0
Ce-137,1000,37,0
Ce-137m,100,3.7,0
Ce-139,100,3.7,0
Ce-141,10,0.37,0
Ce-143,100,3.7,0
Ce-144,1,0.037,0
Cf-244,1000,37,0
Cf-246,10,0.37,0
Cf-248,0.1,0.0037,0
Cf-249,0.01,0.00037,0
Cf-250,0.01,0.00037,0
Cf-251,0.01,0.00037,0
Cf-252,0.1,0.0037,0
Cf-253,10,0.37,0
Cf-254,0.1,0.0037,0
Cl-36,10,0.37,0
Cl-38,100,3.7,0
Cl-39,100,3.7,0
Cm-238,1000,37,0
Cm-240,1,0.037,0
Cm-241,10,0.37,0
Cm-242,1,0.037,0
Cm-243,0.01,0.00037,0
Cm-244,0.01,0.00037,0
Cm-245,0.01,0.00037,0
Cm-246,0.01,0.00037,0
Cm-247,0.01,0.00037,0
Cm-248,0.001,0.000037,0
Cm-249,1000,37,0
Co-55,10,0.37,0
Co-56,10,0.37,0
Co-57,100,3.7,0
Co-58,10,0.37,0
Co-58m,1000,37,0
Co-60,10,0.37,0
Co-60m,1000,37,0
Co-61,1000,37,0
Co-62m,1000,37,0
Cr-48,100,3.7,0
Cr-49,1000,37,0
Cr-51,1000,37,0
Cs-125,1000,37,0
Cs-127,100,3.7,0
Cs-129,100,3.7,0
Cs-130,1000,37,0
Cs-131,1000,37,0
Cs-132,10,0.37,0
Cs-134,1,0.037,0
Cs-134m,1000,37,0
Cs-135,10,0.37,0
Cs-135m,100,3.7,0
Cs-136,10,0.37,0
Cs-137,1,0.037,0
Cs-138,100,3.7,0
Cu-60,100,3.7,0
Cu-61,100,3.7,0
Cu-64,1000,37,0
Cu-67,100,3.7,0
Dy-155,100,3.7,0
Dy-157,100,3.7,0
Dy-159,100,3.7,0
Dy-165,1000,37,0
Dy-166,10,0.37,0
Er-161,100,3.7,0
Er-165,1000,37,0
Er-169,100,3.7,0
Er-171,100,3.7,0
Er-172,10,0.37,0
Es-250,10,0.37,0
Es-251,1000,37,0
Es-253,10,0.37,0
Es-254,0.1,0.0037,0
Es-254m,1,0.037,0
Eu-145,10,0.37,0
Eu-146,10,0.37,0
Eu-147,10,0.37,0
Eu-148,10,0.37,0
Eu-149,100,3.7,0
Eu-150(long),10,0.37,0
Eu-150(short),1000,37,0
Eu-152,10,0.37,0
Eu-152m,100,3.7,0
Eu-154,10,0.37,0
Eu-155,10,0.37,0
Eu-156,10,0.37,0
Eu-157,10,0.37,0
Eu-158,1000,37,0
F-18,1000,37,0
Fe-52,100,3.7,0
Fe-55,100,3.7,0
Fe-59,10,0.37,0
Fe-60,0.1,0.0037,0
Fm-252,10,0.37,0
Fm-253,10,0.37,0
Fm-254,100,3.7,0
Fm-255,100,3.7,0
Fm-257,1,0.037,0
Fr-222,100,3.7,0
Fr-223,100,3.7,0
Ga-65,1000,37,0
Ga-66,10,0.37,0
Ga-67,100,3.7,0
Ga-68,1000,37,0
Ga-70,1000,37,0
Ga-72,10,0.37,0
Ga-73,100,3.7,0
Gd-145,100,3.7,0
Gd-146,10,0.37,0
Gd-147,10,0.37,0
Gd-148,0.001,0.000037,0
Gd-149,100,3.7,0
Gd-151,100,3.7,0
Gd-152,0.001,0.000037,0
Gd-153,10,0.37,0
Gd-159,1000,37,0
Ge-66,100,3.7,0
Ge-67,1000,37,0
Ge-68,10,0.37,0
Ge-69,10,0.37,0
Ge-71,1000,37,0
Ge-75,1000,37,0
Ge-77,10,0.37,0
Ge-78,1000,37,0
H-3,100,3.7,0
Hf-170,100,3.7,0
Hf-172,1,0.037,0
Hf-173,100,3.7,0
Hf-175,100,3.7,0
Hf-177m,1000,37,0
Hf-178m,0.1,0.0037,0
Hf-179m,100,3.7,0
Hf-180m,100,3.7,0
Hf-181,10,0.37,0
Hf-182,0.1,0.0037,0
Hf-182m,100,3.7,0
Hf-183,100,3.7,0
Hf-184,100,3.7,0
Hg-193,100,3.7,0
Hg-193m,10,0.37,0
Hg-194,0.1,0.0037,0
Hg-195,100,3.7,0
Hg-195m,100,3.7,0
Hg-197,1000,37,0
Hg-197m,1000,37,0
Hg-199m,1000,37,0
Hg-203,10,0.37,0
Ho-155,1000,37,0
Ho-157,1000,37,0
Ho-159,1000,37,0
Ho-161,1000,37,0
Ho-162,1000,37,0
Ho-162m,1000,37,0
Ho-164,1000,37,0
Ho-164m,1000,37,0
Ho-166,100,3.7,0
Ho-166m,1,0.037,0
Ho-167,100,3.7,0
I-120,10,0.37,0
I-120m,100,3.7,0
I-121,100,3.7,0
I-123,10,0.37,0
I-124,0.1,0.0037,0
I-125,0.01,0.00037,0
I-126,0.01,0.00037,0
I-128,1000,37,0
I-129,0.001,0.000037,0
I-130,1,0.037,0
I-131,0.01,0.00037,0
I-132,10,0.37,0
I-132m,10,0.37,0
I-133,0.1,0.0037,0
I-134,100,3.7,0
I-135,10,0.37,0
In-109,100,3.7,0
In-110(long),10,0.37,0
In-110(short),100,3.7,0
In-111,100,3.7,0
In-112,1000,37,0
In-113m,1000,37,0
In-114m,10,0.37,0
In-115m,100,3.7,0
In-116m,100,3.7,0
In-117,1000,37,0
In-117m,100,3.7,0
In-119m,1000,37,0
Ir-182,1000,37,0
Ir-184,100,3.7,0
Ir-185,100,3.7,0
Ir-186,10,0.37,0
Ir-187,100,3.7,0
Ir-188,10,0.37,0
Ir-189,100,3.7,0
Ir-190,10,0.37,0
Ir-190m,1000,37,0
Ir-192,10,0.37,0
Ir-192m,100,3.7,0
Ir-194,100,3.7,0
Ir-194m,10,0.37,0
Ir-195,1000,37,0
Ir-195m,100,3.7,0
K-40,1,0.037,0
K-42,100,3.7,0
K-43,10,0.37,0
K-44,100,3.7,0
K-45,1000,37,0
Kr-74,10,0.37,0
Kr-76,10,0.37,0
Kr-77,10,0.37,0
Kr-79,100,3.7,0
Kr-81,1000,37,0
Kr-83m,1000,37,0
Kr-85,1000,37,0
Kr-85m,100,3.7,0
Kr-87,10,0.37,0
Kr-88,10,0.37,0
La-131,1000,37,0
La-132,100,3.7,0
La-135,1000,37,0
La-137,10,0.37,0
La-138,1,0.037,0
La-140,10,0.37,0
La-141,1000,37,0
La-142,100,3.7,0
La-143,1000,37,0
Lu-169,10,0.37,0
Lu-170,10,0.37,0
Lu-171,10,0.37,0
